,SKU,Total Amount,Total Quantity,Total Transaction Count,Zero Priced Count,Discounted Amount,Discounted Quantity,Discounted Transaction Count,Offered Amount,Offered Quantity,Offered Transaction Count,Loss Amount,Loss Quantity,Loss Transaction Count,Returned Amount,Returned Quantity,Returned Transaction Count,Transaction Amount,Transaction Quantity,Transaction Count
    Buck,68,1352,107,131,,,,,,,,-13,-1,-1,,,,1339,106,129
    Cocktail,20,31922,2660,2199,,-325.8,-181,-114,-648,-54,-46,-108,-9,-9,,,,30840.2,2597,2006
    COCKTAIL SHAKEN,140,9456,755,853,,-90.9,-49,-40,,,,-168,-13,-13,,,,9197.1,742,794
    COCKTAIL STIRRED,139,1937,157,213,,-28.2,-15,-13,,,,,,,,,,1908.8,157,198
    Collins,128,260,21,27,,-3.9,-2,-2,,,,,,,,,,256.1,21,25
    Daiquiri,60,987,81,90,,-5.4,-3,-2,,,,-26,-2,-1,,,,955.6,79,85
    Espresso Martini,190,1020,68,68,,,,,,,,-15,-1,-1,,,,1005,67,67
    Fancy Free,154,65,5,7,,,,,,,,,,,,,,65,5,7
    FRENCH 75,136,351,28,28,,,,,,,,,,,,,,351,28,28
    Garden Paloma,59,2513,207,285,,-19.95,-11,-15,,,,-111,-9,-7,,,,2382.05,198,262
    Gimlet,206,78,6,5,,,,,,,,,,,,,,78,6,5
    Ginger No. 2,67,25,2,3,,,,,,,,,,,,,,25,2,2
    Gourgeous,57,8558,713,941,,-57.6,-32,-44,-24,-2,-2,-144,-12,-11,,,,8332.4,699,876
    HANKY PANKY,173,13,1,1,,,,,,,,,,,,,,13,1,1
    High Five,185,4420,340,436,,-29.9,-13,-19,,,,-104,-8,-6,,,,4286.1,332,407
    HOT DRINX,209,420,30,47,,-6.3,-3,-2,,,,-112,-8,-7,,,,301.7,22,38
    Jungle Bird,145,39,3,6,,-1.95,-1,-1,,,,,,,,,,37.05,3,5
    Last Word,155,13,1,1,,,,,,,,,,,,,,13,1,1
    Manhattan,126,3370,267,344,,-22.65,-12,-15,,,,-169,-13,-11,,,,3178.35,254,316
    Margarita,58,18098,1449,1731,,-94.95,-51,-42,-24,-2,-2,-575,-46,-31,,,,17404.05,1401,1647
    Martinez,71,3195,264,363,,-23.4,-13,-13,-12,-1,-1,-108,-9,-8,,,,3051.6,254,338
    Martini Gin,64,7592,609,834,,-39.3,-21,-33,-60,-5,-3,-226,-18,-16,,,,7266.7,586,771
    Martini Vodka,63,8136,654,859,,-46.35,-25,-33,-12,-1,-1,-229,-18,-15,,,,7848.65,635,795
    MOJITO,137,12,1,1,,,,,,,,,,,,,,12,1,1
    Monocle Thief,130,7051,587,780,,-43.2,-24,-28,-12,-1,-1,-171,-14,-11,,,,6824.8,572,728
    MOSQUITO,201,156,12,15,,,,,,,,,,,,,,156,12,15
    Mr. Fahrenheit,187,5330,410,510,,-37.7,-17,-26,,,,-78,-6,-5,,,,5214.3,404,476
    MULE,135,77,6,6,,,,,,,,,,,,,,77,6,6
    NAKED & FAMOUS,204,26,2,2,,,,,,,,,,,,,,26,2,2
    Negroni,127,4683,372,515,,-60,-32,-35,,,,-202,-16,-15,,,,4421,356,458
    Neighbor Cocktail,158,244,20,13,,,,,,,,,,,,,,244,20,13
    Oki Doki,183,5616,432,582,,-39,-20,-28,,,,-221,-17,-16,,,,5356,415,531
    Old Fashioned,62,6522,520,680,,-30.15,-16,-26,-24,-2,-2,-216,-17,-15,,,,6251.85,501,629
    Open Cocktail,38,424,36,72,,-8.1,-5,-5,,,,-12,-1,-1,,,,403.9,35,63
    Paper Plane,188,832,64,64,,,,,,,,-26,-2,-2,,,,806,62,62
    Penicillin,7,9549,782,969,,-86.4,-47,-45,-12,-1,-3,-111,-9,-8,,,,9339.6,772,900
    Pineapple Daiq,61,5660,469,646,,-49.95,-27,-22,-12,-1,-1,-36,-3,-3,,,,5562.05,465,615
    Pisco Punch,189,5369,413,520,,-35.75,-16,-22,,,,-169,-13,-12,,,,5164.25,400,483
    SAZERAC COCKTAIL,176,168,13,20,,,,,,,,-13,-1,-1,,,,155,12,19
    Shake,144,39,3,2,,,,,,,,,,,,,,39,3,2
    SHOOTER,202,91,13,21,,-2.1,-2,-3,,,,-14,-2,-2,,,,74.9,11,16
    Soda,123,603,218,228,,-0.75,-2,-2,,,,-6,-2,-2,,,,596.25,216,224
    Sour,141,590,47,55,,,,,,,,-26,-2,-2,,,,564,45,53
    SPRITZ,138,253,20,31,,-1.95,-1,-1,,,,,,,,,,251.05,20,29
    Stormy Spice,142,124,10,28,,-5.55,-3,-3,,,,-12,-1,-1,,,,106.45,9,23
    Witness,186,4706,362,452,,-13.65,-7,-9,,,,-117,-9,-9,,,,4575.35,353,430
FOOD,,62454,8223,10920,-163,-399.55,-337,-356,-579,-73,-77,-2830,-363,-272,,,,58645.45,7624,9864
    Burger,8,29988,3332,3840,,-208.8,-150,-127,-351,-39,-36,-1053,-117,-93,,,,28375.2,3176,3560
    Crudite,25,,,2,,,,,,,,,,,,,,,,
    Doggie,74,2925,585,570,,-27.5,-32,-25,-15,-3,-2,-215,-43,-23,,,,2667.5,539,516
    Extra Patty,146,240,40,71,,-0.9,-1,-1,,,,-78,-13,-11,,,,161.1,27,57
    Fries,21,14289,2280,3288,,-91.7,-97,-114,-96,-16,-18,-657,-99,-62,,,,13444.3,2165,3081
    Icey Sando,129,50,5,11,,,,,,,,,,,,,,50,5,5
    Item note (included),FT1,,8,14,,,,,,,,,,,,,,,8,14
    Open Food,40,94,12,31,,,,,,,,,,,,,,94,12,30
    Order note,FT2,,163,267,-163,,,,,,,,,,,,,,,
    Pimento Cheese,23,3282,547,874,,-14.4,-16,-29,-36,-6,-6,-60,-10,-10,,,,3171.6,531,817
    POPCORN,212,24,3,2,,,,,,,,,,,,,,24,3,2
    Salad,22,5337,593,909,,-24.3,-18,-25,-27,-3,-5,-360,-40,-36,,,,4925.7,550,838
    Smash - Vegan Patty,203,220,20,29,,,,,,,,-33,-3,-3,,,,187,17,25
    VCC,24,6005,635,1012,,-31.95,-23,-35,-54,-6,-10,-374,-38,-34,,,,5545.05,591,919
Merch,,594,59,55,,-4.2,-3,-3,-36,-2,-1,,,,,,,553.8,57,49
    Candle 2 oz,42,180,36,31,,-1.5,-2,-2,,,,,,,,,,178.5,36,28
    Candle 9oz,41,414,23,24,,-2.7,-1,-1,-36,-2,-1,,,,,,,375.3,21,21
Misc,,439,35,42,-5,,,,,,,,,,,,,439,30,31
    AWW SHUCKS!,32,14,14,12,,,,,,,,,,,,,,14,14,12
    Candle 9oz,41,36,2,1,,,,,,,,,,,,,,36,2,1
    Deposit,169,100,1,9,,,,,,,,,,,,,,100,1,9
    Faster please,MSG2,,1,3,-1,,,,,,,,,,,,,,,
    Important customer,MSG1,,1,3,-1,,,,,,,,,,,,,,,
    Misc,OI1,289,13,9,,,,,,,,,,,,,,289,13,9
    Order note,FT2,,3,5,-3,,,,,,,,,,,,,,,
N/A,,3894,497,644,,-21.6,-17,-18,,,-3,-36,-4,-4,,,,3836.4,493,610
    Ginger Beer,159,160,32,33,,,,,,,,,,,,,,160,32,32
    Mock Turtleneck,34,3734,465,611,,-21.6,-17,-18,,,-3,-36,-4,-4,,,,3676.4,461,578
SPIRITS,,23928,2244,2582,,-128.55,-78,-97,-113,-10,-11,-2532,-244,-123,-11,-1,1,21143.45,1989,2286
    Aberlour,72,34,2,2,,,,,,,,,,,,,,34,2,2
    AMARGO VALLET,109,39,4,3,,,,,,,,,,,,,,39,4,3
    Amaro,49,396,36,42,,-3.3,-2,-2,,,,,,,,,,392.7,36,39
    APPLETON,98,,,1,,,,,,,,,,,,,,,,
    AVERNA,178,11,1,3,,,,,,,,,,,,,,11,1,3
    Balvenie,47,796,47,59,,,,,,,,-17,-1,-1,,,,779,46,58
    BALVENIE 14,197,144,6,12,,,,,,,,,,,,,,144,6,12
    BANK NOTE,113,60,6,11,,,,,,,,,,,,,,60,6,11
    BARR HILL,191,12,1,3,,,,,,,,,,,,,,12,1,3
    Bourbon,27,2017,214,241,,-9.75,-7,-7,-29,-3,-5,-977,-103,-49,-11,-1,1,990.25,107,178
    Buffalo Trace,124,232,20,22,,-3.6,-2,-2,,,,,,,,,,228.4,20,19
    CAMPARI,97,130,13,19,,,,,,,,,,,,,,130,13,19
    CASCO,105,20,2,2,,,,,,,,,,,,,,20,2,2
    CASCUIN TAHONA,160,136,8,20,,,,,,,,-17,-1,-1,,,,119,7,19
    CORTES,104,36,3,3,,,,,,,,,,,,,,36,3,3
    CURRENT CASSIS,133,132,12,12,,,,,,,,,,,,,,132,12,10
    CUTTY SARK,162,20,2,2,,,,,,,,,,,,,,20,2,2
    DAY TRIP PEACH,78,108,12,1,,,,,,,,,,,,,,108,12,1
    DENIZEN,75,,,1,,,,,,,,,,,,,,,,
    EL DORADO 12,108,208,16,23,,-1.95,-1,-1,,,,,,,,,,206.05,16,22
    ESPOLON,199,156,13,18,,-1.8,-1,-1,,,,-12,-1,-1,,,,142.2,12,16
    ESPOLON REPO,200,14,1,3,,,,,,,,-14,-1,-1,,,,,,2
    Fernet,48,344,43,62,,-2.4,-2,-2,,,,-16,-2,-2,,,,325.6,41,50
    FORTALEZA ANEJO,181,88,4,6,,-3.3,-1,-1,,,,-22,-1,-1,,,,62.7,3,4
    FOURSQUARE CASK,165,54,2,2,,,,,,,,,,,,,,54,2,2
    Gin,35,917,99,112,,-2.85,-2,-6,,,,-9,-1,-1,,,,905.15,98,100
    GOSLINGS,99,9,1,3,,,,,,,,,,,,,,9,1,3
    halfy,219,-54,5,9,,,,,,,,,,,,,,-54,5,7
    Hendricks,46,1092,78,89,,,,,,,,-28,-2,-1,,,,1064,76,87
    HENNESSEY,166,192,12,9,,,,,,,,,,,,,,192,12,9
    JANUARY AMARO,121,12,1,3,,,,,,,,-12,-1,-1,,,,,,2
    JANUARY GIN,120,,,1,,,,,,,,,,,,,,,,
    Juice,211,42,7,5,,,,,,,,,,,,,,42,7,5
    KILKERRIN,218,84,2,4,,,,,,,,-42,-1,-1,,,,42,1,3
    KITE CRASH,77,60,6,12,,,,,,,,,,,,,,60,6,11
    Laphroig,50,240,15,22,,-9.6,-4,-3,,,,,,,,,,230.4,15,19
    LILLET,100,27,3,4,,,,,,,,,,,,,,27,3,4
    Makers,43,712,60,55,,,,,-24,-2,-1,,,,,,,688,58,54
    MATEO CUPREATA,111,165,11,17,,-2.25,-1,-1,,,,,,,,,,162.75,11,15
    META CASK,76,165,11,22,,-2.25,-1,-1,,,,,,,,,,162.75,11,20
    Mezcal,30,744,62,42,,-1.8,-1,-5,,,,-180,-15,-6,,,,562.2,47,29
    MEZCAL VIDA,195,12,1,1,,,,,,,,,,,,,,12,1,1
    MEZONTE TEPE,112,196,7,7,,,,,,,,-112,-4,-2,,,,84,3,5
    Michters,53,1833,141,161,,-5.85,-3,-4,,,,-52,-4,-3,,,,1775.15,137,153
    MONTENEGRO,161,96,8,11,,-1.8,-1,-1,,,,,,,,,,94.2,8,10
    MUSES GIN,80,168,13,12,,,,,,,,,,,,,,168,13,12
    NONINO,175,96,8,15,,,,,,,,,,,,,,96,8,15
    OLD FORESTER 100,90,60,6,7,,,,,,,,,,,,,,60,6,7
    OLD GRANDAD,96,10,1,1,,,,,,,,,,,,,,10,1,1
    Open Spirit,39,796,66,104,,-7.5,-4,-8,-19,-1,-1,,,,,,,769.5,65,93
    PARANUBES,110,11,1,1,,,,,,,,,,,,,,11,1,1
    PARK VS,82,129,10,15,,,,,,,,-13,-1,-1,,,,116,9,14
    PELLEHAUT,163,65,5,5,,,,,,,,,,,,,,65,5,5
    PF 1840,56,12,1,1,,,,,,,,,,,,,,12,1,1
    PROBITAS,106,22,2,2,,,,,,,,,,,,,,22,2,2
    Rare Breed,36,337,20,26,,-2.55,-1,-1,,,,-102,-6,-2,,,,232.45,14,22
    RITTENHOUSE,91,256,32,15,,,,,,,,-216,-27,-3,,,,40,5,11
    Rum,31,481,52,67,,-1.35,-1,-1,,,,-27,-3,-3,,,,452.65,49,60
    Rye,28,33,3,4,,,,,,,,,,,,,,33,3,3
    SAZERAC,85,33,3,3,,,,,,,,,,,,,,33,3,3
    Scotch,29,489,48,65,,-6,-4,-3,-22,-2,-2,-142,-14,-8,,,,319,32,49
    SHOT 4$,115,116,29,53,,,,,,,,-4,-1,-1,,,,112,28,49
    SHOT 5$,92,515,103,93,,-5.25,-7,-5,,,,-5,-1,-1,,,,504.75,102,86
    SHOT 6$,93,684,114,88,,-2.7,-3,-3,,,,-42,-7,-6,,,,639.3,107,76
    SHOT 7$,94,637,91,85,,-2.1,-2,-2,-7,-1,-1,-49,-7,-3,,,,578.9,83,79
    SHOT 8$,95,136,17,26,,-1.2,-1,-1,,,,,,,,,,134.8,17,19
    SHOT 9$,116,27,3,5,,,,,,,,-9,-1,-1,,,,18,2,4
    SIETE REP,114,224,16,40,,-2.1,-1,-9,,,,-42,-3,-3,,,,179.9,13,28
    Spirit,37,130,13,18,,,,,,,,-10,-1,-1,,,,120,12,15
    SUNSETTER,79,24,2,2,,,,,,,,,,,,,,24,2,2
    Talisker,44,340,20,25,,-2.55,-1,-1,,,,-85,-5,-4,,,,252.45,15,20
    Tanqueray,52,260,26,24,,,,,,,,,,,,,,260,26,24
    TAPATIO BLANO,182,60,5,9,,,,,,,,,,,,,,60,5,9
    Tequila,26,795,87,95,,-5.7,-4,-3,,,,-108,-12,-6,,,,681.3,75,81
    Tesoro,55,630,42,42,,,,,,,,,,,,,,630,42,42
    TESORO ANEJO,171,90,5,11,,-5.4,-2,-2,,,,,,,,,,84.6,5,9
    Titos,125,1946,139,144,,-14.7,-7,-7,,,,-42,-3,-2,,,,1889.3,136,135
    Toki,45,696,58,83,,-9,-5,-7,-12,-1,-1,,,,,,,675,57,75
    TORONTO,174,24,2,2,,,,,,,,,,,,,,24,2,2
    TULLY,89,430,43,50,,,,-2,,,,,,,,,,430,43,48
    Vodka,18,1333,151,174,,-7.95,-6,-5,,,,-126,-14,-7,,,,1199.05,137,159
    WILDFLOWER,167,84,7,6,,,,,,,,,,,,,,84,7,6
    WODKA,103,18,2,2,,,,,,,,,,,,,,18,2,2
WINE,,15695,1378,1783,,-115.2,-65,-74,-99,-9,-9,-1894,-164,-82,,,,13586.8,1205,1590
    BTL Red,13,45,1,1,,,,,,,,,,,,,,45,1,1
    BTL Rose,16,45,1,3,,,,,,,,,,,,,,45,1,3
    BURG BOTTLE,153,,,1,,,,,,,,,,,,,,,,
    BURG GLASS,151,,,2,,,,,,,,,,,,,,,,2
    GLS Fizzy,12,3130,277,337,,-19.35,-11,-12,,,,-490,-42,-21,,,,2620.65,235,302
    GLS Red,9,5005,435,526,,-27.15,-16,-20,-22,-2,-2,-499,-44,-15,,,,4456.85,389,483
    GLS Rose,11,4497,400,549,,-53.85,-29,-31,-55,-5,-5,-530,-46,-24,,,,3858.15,349,479
    GLS White,10,2883,258,349,,-14.85,-9,-11,-22,-2,-2,-375,-32,-22,,,,2471.15,224,306
    MONTECASTRILLO GLASS,150,90,6,15,,,,,,,,,,,,,,90,6,14
