,SKU,Total Amount,Total Quantity,Total Transaction Count,Zero Priced Count,Discounted Amount,Discounted Quantity,Discounted Transaction Count,Offered Amount,Offered Quantity,Offered Transaction Count,Loss Amount,Loss Quantity,Loss Transaction Count,Returned Amount,Returned Quantity,Returned Transaction Count,Transaction Amount,Transaction Quantity,Transaction Count
    SEA TROUT,287,216,6,16,,,,,,,,-36,-1,-1,,,,180,5,15
    Smash - Vegan Patty,203,341,31,43,,-3.3,-2,-1,,,,-11,-1,-1,,,,326.7,30,41
    STEAK FRITES,309,578,17,25,,,,,,,,,,,,,,578,17,25
    SUNCHOKES,290,90,10,34,,,,,,,,-9,-1,-1,,,,81,9,33
    TOSTADA,280,221,13,33,,-5.1,-2,-2,,,,,,,,,,215.9,13,31
    TZATZIKI,298,88,11,22,,,,,,,,,,,,,,88,11,21
    VCC,24,1272,106,166,,-19.2,-6,-5,,,,-60,-5,-5,,,,1192.8,101,155
Merch,,23,2,2,,,,,,,,,,,,,,23,2,2
    Candle 2 oz,42,5,1,1,,,,,,,,,,,,,,5,1,1
    Candle 9oz,41,18,1,1,,,,,,,,,,,,,,18,1,1
Misc,,50,1,4,,,,,,,,,,,,,,50,1,1
    GIFT CERTIFICATE,275,50,1,4,,,,,,,,,,,,,,50,1,1
N/A,,1105,119,196,,-18,-11,-14,,,,-29,-3,-3,,,,1058,116,176
    Ginger Beer,159,100,20,35,,-8.25,-4,-7,,,,,,,,,,91.75,20,28
    Mock Turtleneck,34,627,57,84,,-1.65,-1,-3,,,,-11,-1,-1,,,,614.35,56,78
    POP-UP MOCKTAIL,292,378,42,77,,-8.1,-6,-4,,,,-18,-2,-2,,,,351.9,40,70
SPIRITS,,4645.5,443,524,,-26.25,-17,-21,,,,-59,-6,-5,,,,4560.25,437,477
    AMARGO VALLET,109,50,5,15,,,,-2,,,,-10,-1,-1,,,,40,4,12
    Amaro,49,44,4,6,,,,,,,,,,,,,,44,4,6
    Balvenie,47,102,6,4,,,,,,,,,,,,,,102,6,4
    Bourbon,27,492,41,41,,-3.6,-2,-1,,,,,,,,,,488.4,41,38
    BW WHEAT,215,34,2,2,,,,,,,,,,,,,,34,2,2
    CAMPARI,97,20,2,2,,,,,,,,,,,,,,20,2,2
    CASCUIN TAHONA,160,34,2,1,,,,,,,,,,,,,,34,2,1
    CURRENT CASSIS,133,11,1,1,,,,,,,,,,,,,,11,1,1
    CYNAR,222,20,2,5,,-1.5,-1,-1,,,,,,,,,,18.5,2,4
    EL DORADO 12,108,13,1,1,,,,,,,,,,,,,,13,1,1
    ESPOLON,199,12,1,1,,,,,,,,,,,,,,12,1,1
    Fernet,48,110,11,11,,,,,,,,,,,,,,110,11,9
    Gin,35,170,17,28,,-3,-2,-3,,,,-10,-1,-1,,,,157,16,24
    Hendricks,46,84,6,10,,,,,,,,,,,,,,84,6,10
    Juice,211,36,6,7,,,,,,,,,,,,,,36,6,6
    Macallan 18,274,48,1,1,,,,,,,,,,,,,,48,1,1
    Makers,43,216,18,18,,,,,,,,,,,,,,216,18,18
    Mezcal,30,84,7,7,,,,,,,,,,,,,,84,7,7
    Michters,53,312,24,29,,-1.95,-1,-1,,,,,,,,,,310.05,24,28
    MONTENEGRO,161,132,11,13,,,,,,,,,,,,,,132,11,12
    NONINO,175,84,7,10,,,,,,,,-12,-1,-1,,,,72,6,9
    OLD FORESTER 100,90,10,1,1,,,,,,,,,,,,,,10,1,1
    Open Spirit,39,473.5,45,49,,,,,,,,,,,,,,473.5,45,48
    Rare Breed,36,,,2,,,,,,,,,,,,,,,,2
    RITTENHOUSE,91,16,2,2,,,,,,,,,,,,,,16,2,2
    Rum,31,70,7,13,,-1.5,-1,-1,,,,,,,,,,68.5,7,11
    SAZERAC,85,,,1,,,,,,,,,,,,,,,,
    Scotch,29,48,4,23,,-5.4,-3,-7,,,,,,,,,,42.6,4,16
    SHOT 4$,115,4,1,6,,,,,,,,,,,,,,4,1,5
    SHOT 5$,92,55,11,9,,,,,,,,,,,,,,55,11,8
    SHOT 6$,93,114,19,27,,-3,-1,-1,,,,,,,,,,111,19,23
    SHOT 7$,94,399,57,67,,-6.3,-6,-4,,,,,,,,,,392.7,57,61
    SHOT 8$,95,136,17,15,,,,,,,,-16,-2,-1,,,,120,15,13
    SHOT 9$,116,54,6,7,,,,,,,,,,,,,,54,6,6
    Spirit,37,20,2,2,,,,,,,,,,,,,,20,2,2
    SUZE,180,10,1,1,,,,,,,,,,,,,,10,1,1
    Talisker,44,34,2,2,,,,,,,,,,,,,,34,2,2
    Tequila,26,60,5,5,,,,,,,,,,,,,,60,5,5
    TEREMANA REPOSADO,256,15,1,1,,,,,,,,,,,,,,15,1,1
    Tesoro,55,15,1,1,,,,,,,,,,,,,,15,1,1
    Titos,125,224,16,12,,,,,,,,,,,,,,224,16,12
    Toki,45,156,13,10,,,,,,,,,,,,,,156,13,10
    TULLY,89,150,15,12,,,,,,,,,,,,,,150,15,9
    Vodka,18,440,40,41,,,,,,,,-11,-1,-1,,,,429,39,40
    Wathen's,277,20,1,1,,,,,,,,,,,,,,20,1,1
    ZACAPA,254,14,1,1,,,,,,,,,,,,,,14,1,1
WINE,,3504,247,328,,-53.2,-15,-14,,,,-14,-1,-1,,,,3436.8,246,308
    BTL Fizzy,15,45,1,1,,,,,,,,,,,,,,45,1,1
    GLS Fizzy,12,658,47,56,,-2.1,-1,-1,,,,-14,-1,-1,,,,641.9,46,54
    GLS Red,9,1498,107,147,,-23.8,-9,-9,,,,,,,,,,1474.2,107,136
    GLS Rose,11,490,35,41,,-7,-1,-1,,,,,,,,,,483,35,40
    GLS White,10,714,51,77,,-20.3,-4,-3,,,,,,,,,,693.7,51,71
    OPEN WINE,149,99,6,6,,,,,,,,,,,,,,99,6,6
